Letters	Relative Frequency (%)	Frequency
অ	0.09	29104
আ	1.94	648589
ই	0.72	241110
ঈ	0.00	542
উ	0.07	22367
ঊ	0.00	0
ঋ	0.00	90
এ	1.30	437025
ঐ	0.00	409
ও	0.15	50311
ঔ	0.00	136
ক	5.88	1969486
খ	0.05	18292
গ	1.40	467803
ঘ	0.46	154212
ঙ	0.02	8102
চ	0.04	13858
ছ	0.57	190930
জ	0.96	320293
ঝ	0.04	11770
ঞ	0.01	4870
ট	3.39	1136577
ঠ	0.13	42347
ড	0.03	8610
ঢ	0.01	3804
ণ	0.02	5419
ত	3.59	1202428
থ	0.02	7106
দ	2.32	775688
ধ	1.70	568522
ন	4.94	1654686
প	3.18	1064477
ফ	0.05	15809
ব	6.40	2143303
ভ	1.23	410861
ম	0.62	207498
য	4.96	1660405
র	6.92	2317063
ল	4.00	1339551
শ	1.85	619635
ষ	0.09	30229
স	2.35	788215
হ	1.06	355933
ড়	1.31	440462
ঢ়	0.00	816
য়	1.16	387252
ৎ	0.03	10147
ং	0.00	616
ঃ	0.00	9
ঁ	1.74	583252
া	13.66	4575567
ি	3.98	1332989
ী	0.32	106989
ু	3.35	1122920
ূ	0.01	1680
ৃ	0.01	2946
ে	10.14	3397556
ৈ	0.01	1815
ো	1.77	593335
ৌ	0.00	12
Total Count	100	33505828
